Province,n,Mean_WI,Median_WI,Std_WI,Min_WI,Max_WI,Range_WI,PSA_Pov_Pct,LSTM_Pct
Aklan,49,-0.4663,-0.3664,0.4779,-1.3412,0.3074,1.6486,3.1,51.7
Basilan,30,-1.2153,-1.3455,0.5097,-2.0584,-0.1378,1.9206,33.7,59.8
Bataan,45,-0.1124,-0.0669,0.3798,-1.0179,0.6155,1.6334,6.6,48.0
Benguet,94,-0.2244,-0.1446,0.3239,-1.0769,0.2942,1.3711,2.5,55.1
Bulacan,83,-0.5476,-0.5538,0.6108,-1.618,0.6926,2.3106,6.0,44.9
Davao Oriental,182,-0.8132,-0.8324,0.4725,-1.6982,0.1914,1.8896,29.1,57.1
Ilocos Norte,107,-0.4743,-0.4653,0.4801,-1.5928,0.3658,1.9586,0.3,56.3
Kalinga,100,-0.7018,-0.6835,0.4997,-2.0608,0.234,2.2948,2.6,58.0
Maguindanao del Sur,77,-0.694,-0.6951,0.4776,-2.1253,0.096,2.2213,32.1,57.0
NCR,23,-0.0995,-0.0018,0.2938,-0.877,0.2185,1.0955,1.1,44.7
Occidental Mindoro,230,-0.8586,-0.9211,0.512,-1.8531,0.3573,2.2104,20.6,55.9
Oriental Mindoro,145,-0.762,-0.7958,0.5709,-1.9928,0.411,2.4038,14.1,54.6
Pampanga,89,-0.2813,-0.2395,0.415,-1.4127,0.41,1.8227,1.0,47.9
Tawi-Tawi,18,-1.0968,-1.0386,0.3992,-2.0692,-0.5594,1.5098,32.3,62.8
Zambales,154,-0.3784,-0.2884,0.443,-1.5558,0.4222,1.978,11.8,54.4
Zamboanga del Norte,227,-0.802,-0.8071,0.4283,-1.796,0.3588,2.1548,37.7,53.4
