Province,n,Actual_Mean,Pred22_Mean,Pred25_Mean,Actual_Std,Pred22_Std,Pred25_Std,MAE_2022,MAE_2025,RMSE_2022,RMSE_2025,r_2022,r_2025,Bias_2022,Bias_2025,Lower_MAE,MAE_delta
Aklan,12,-0.0147,-0.1399,-0.154,0.4369,0.4242,0.1896,0.2239,0.3484,0.2752,0.3901,0.8383,0.5675,-0.1252,-0.1392,2022,0.1245
Basilan,12,-1.1802,-1.3404,-1.0419,0.4266,0.7234,0.5418,0.483,0.4508,0.5409,0.52,0.7102,0.4852,-0.1602,0.1383,2025,-0.0322
Bataan,10,0.4803,-0.1038,-0.1661,0.289,0.4022,0.3329,0.585,0.6465,0.6993,0.7648,0.4189,0.1418,-0.5841,-0.6465,2022,0.0615
Benguet,18,0.7385,0.085,-0.0828,0.3925,0.3791,0.2397,0.6611,0.8213,0.762,0.9031,0.4849,0.3748,-0.6536,-0.8213,2022,0.1603
Bulacan,12,0.7632,0.2379,0.055,0.1851,0.4076,0.3513,0.5315,0.7082,0.6435,0.8099,0.4126,0.0247,-0.5253,-0.7082,2022,0.1767
Davao Oriental,12,-0.454,-0.3917,-0.314,0.3246,0.4495,0.3315,0.3896,0.3621,0.5133,0.4751,0.1638,0.0424,0.0623,0.14,2025,-0.0275
Ilocos Norte,12,0.3812,-0.1063,-0.1446,0.3421,0.3392,0.2442,0.4875,0.5258,0.5369,0.699,0.782,-0.2121,-0.4875,-0.5258,2022,0.0383
Kalinga,10,-0.1522,-0.5439,-0.3304,0.4555,0.5696,0.3858,0.5371,0.4876,0.667,0.6506,0.4636,-0.1002,-0.3918,-0.1782,2025,-0.0494
Maguindanao del Sur,6,-1.1849,-1.62,-1.3918,0.3704,0.31,0.2476,0.4351,0.3395,0.5448,0.3953,0.5478,0.4637,-0.4351,-0.2068,2025,-0.0956
NCR,126,0.7752,-0.4152,-0.3099,0.3817,0.5611,0.4583,1.1904,1.0899,1.3103,1.2367,0.3753,0.0114,-1.1904,-1.0851,2025,-0.1005
Occidental Mindoro,12,-0.2666,-0.7035,-0.6456,0.4776,0.6804,0.5721,0.4369,0.3959,0.5169,0.4613,0.9458,0.8897,-0.4369,-0.379,2025,-0.041
Oriental Mindoro,12,0.1149,-0.241,-0.2353,0.3553,0.4624,0.5242,0.3561,0.4246,0.4305,0.5926,0.8568,0.463,-0.356,-0.3502,2022,0.0685
Pampanga,20,0.8708,-0.1023,-0.0822,0.2263,0.4213,0.2971,0.9731,0.953,1.0587,1.0203,0.2867,0.0493,-0.9731,-0.953,2025,-0.0201
Tawi-Tawi,11,-1.2043,-1.5053,-1.2174,0.6524,0.8797,0.6198,0.398,0.36,0.4625,0.4685,0.9376,0.7301,-0.301,-0.0131,2025,-0.038
Zambales,20,0.448,0.2189,-0.045,0.4919,0.3488,0.2116,0.2975,0.6141,0.3367,0.6972,0.8822,0.2096,-0.2291,-0.4929,2022,0.3166
Zamboanga del Norte,12,-0.5818,-0.371,-0.3101,0.5206,0.4606,0.2971,0.4648,0.5237,0.5229,0.5927,0.53,0.2647,0.2108,0.2717,2022,0.0589
