DHSCLUST,Total_Road_Length,Main_Roads_Length,Secondary_Roads_Length,Local_Roads_Length,Tracks_Length,Total_Bldg_Count,Bldg_residential_Count,Bldg_commercial_Count,Bldg_industrial_Count,Bldg_school_Count,Bldg_hospital_Count,Total_Bldg_Area,Total_POI_Count,POI_bank_Count,POI_hotel_Count,POI_fast_food_Count,POI_convenience_Count,POI_school_Count,POI_hospital_Count
1,54.771597045313804,1.8042340621842663,6.857690215394121,44.89321231260209,1.2164604551333364,48,0,0,0,0,0,7209.034852038347,0,0,0,0,0,0,0
2,43.58259817889443,5.215738835212351,2.4828889832037726,29.6917444057114,5.762368824691903,270,0,0,0,0,0,82897.91094188983,7,1,0,0,0,0,0
3,96.2164003315192,13.96478796660938,37.2375476229081,34.49020428683508,10.523860455166625,180,0,0,0,0,0,36877.68774999153,1,0,0,0,0,1,0
4,68.87545382836653,13.977104926627376,6.687322201153843,35.270792112885445,12.940234587699882,53,0,0,0,0,0,9263.556251064734,2,0,0,0,0,2,0
5,43.7509877019125,10.954852393567606,1.4720037857479107,25.31117618385389,4.468634724911582,241,0,0,0,0,0,41684.80159015047,5,0,0,0,0,1,0
6,78.24274009166622,9.20689351301873,23.636763841614087,36.56774292323404,8.831339813799351,149,0,0,0,0,0,29867.231203868938,2,0,0,0,0,2,0
7,146.60953384222114,13.314476105112975,8.787244635871756,95.77986580012139,27.935533451439422,1335,0,0,0,0,0,169935.1388313765,10,1,0,0,0,1,0
8,42.896549857035865,0.0,14.325726321494267,27.495520486304635,0.7348975598971804,2788,0,0,0,0,0,163023.1773078182,1,0,0,0,0,1,0
9,69.31845440116702,3.394244171890747,8.70474762002782,55.18873349241381,2.0307291168346415,68,0,0,0,0,0,10739.227917476399,0,0,0,0,0,0,0
10,14.215735258317576,3.3135939217834154,1.4720037857479107,7.885816936954726,0.0,163,0,0,0,0,0,34219.06335566753,3,0,0,0,0,0,0
11,5.2953459738769855,0.0,0.0,0.0,5.2953459738769855,20,0,0,0,0,0,2773.9096188434446,1,0,0,0,0,1,0
12,76.06186811812138,0.0,24.161656116665537,31.808585993197607,20.04839225811677,64,0,0,0,0,0,9300.219707997803,0,0,0,0,0,0,0
13,59.14261961159195,6.031806573427314,6.032676005591911,46.979777655532224,0.0,1243,0,0,0,0,0,191288.60926072567,41,1,1,2,26,0,0
14,152.39831842349204,4.483827285235883,25.786776890988907,120.1373849524864,0.399110372845778,9644,0,0,0,0,0,1379895.779411351,307,16,12,23,56,11,1
15,53.55746401245227,0.8562439748783256,15.259815588193243,37.142714834367624,0.0,3731,0,0,0,0,0,481904.0748495917,117,11,6,9,5,5,0
16,146.11831691117197,4.240452883961235,24.612312517263994,116.03474764066593,0.2685975339259754,7820,0,0,0,0,0,1189238.577708482,314,17,13,23,67,11,1
17,150.70363351099303,3.9716769421143265,23.59455562213688,102.2030352528353,19.673106261111766,3115,0,0,0,0,0,329841.721193449,78,0,0,3,60,2,0
18,75.29154868949284,2.692064092276694,18.724765898415086,53.34755323902543,0.0,5571,0,0,0,0,0,792295.8947496976,167,16,8,10,6,8,1
19,134.45209111513526,4.2104197943073975,16.14767610605324,113.12045017494202,0.2888496787165262,6296,0,0,0,0,0,920406.078782064,206,2,6,15,72,7,0
20,4.961937924164759,0.0,3.9239787939326907,1.037959130232068,0.0,26,0,0,0,0,0,6420.469231319203,1,0,0,0,0,0,0
21,120.50938397496965,6.1038058061595635,15.033472658835086,98.55058871958201,0.2556888576626692,5110,0,0,0,0,0,772864.9614439014,182,2,5,13,74,5,0
22,53.834617315156734,11.957097558566225,16.058459490413952,23.01155305354654,0.1730841095635078,809,0,0,0,0,0,60008.75141107464,6,0,0,0,0,2,0
23,179.92865560271025,15.3829047220286,21.673052492587193,138.18173342023115,4.476311415267181,637,0,0,0,0,0,112746.71415415034,100,0,0,1,5,8,1
24,94.98233793084593,12.452100948848063,32.37446027092453,49.08452224131136,0.40026005307904633,1622,0,0,0,0,0,155168.29603675782,23,0,0,1,1,11,0
25,103.1549385985336,10.652678074520752,49.14629941191729,43.16923850135818,0.18672261073737895,1999,0,0,0,0,0,173017.90456274612,10,0,0,0,0,5,0
26,108.88573260155329,10.437664821603978,10.890548734316965,83.90530637818276,3.6522126674495885,751,0,0,0,0,0,100578.3571069533,3,0,0,0,0,0,0
27,156.97315143167884,11.889347650108286,19.882757817267425,122.56665601851718,1.889974552568926,6609,0,0,0,0,0,1089875.7410495477,60,2,0,0,1,17,0
28,181.33811458047796,7.714605681668341,40.44141922379895,130.03152054582452,2.484633383479072,3410,0,0,0,0,0,588388.1960401671,34,2,1,0,0,8,0
29,79.13182551075414,7.720292033704509,12.236690977082308,50.56020870725458,4.580132653755328,448,0,0,0,0,0,74671.99607057353,6,0,0,0,0,1,0
30,20.256076720076248,2.9114880612138054,4.362858850425203,10.94490747209166,2.03682233634558,545,0,0,0,0,0,65006.17892775881,1,0,0,0,0,0,0
31,101.70946846139591,10.83735103690369,49.45775228398869,37.07830387141258,4.33606126909095,2208,0,0,0,0,0,200678.91241243243,6,0,0,0,0,4,0
32,22.252170237044815,12.44965924098807,0.0,3.7774195117263067,6.025091484330437,322,0,0,0,0,0,19603.99647213906,0,0,0,0,0,0,0
33,16.720768476168086,11.79040274976611,0.0,4.930365726401974,0.0,394,0,0,0,0,0,30793.07235622505,0,0,0,0,0,0,0
34,84.79372569068951,17.93449484622683,18.213346610360624,44.18666541565289,3.4986212062402138,1656,0,0,0,0,0,121001.22919995387,3,0,0,0,0,2,0
35,64.71981154064844,4.14905390200263,5.828548684554118,52.501234456298995,2.184565935798086,485,0,0,0,0,0,110872.41506412739,24,0,1,2,9,0,0
36,74.304706471253,4.4887397745095505,15.054443509924228,53.140100974765815,0.7807300084122732,4354,0,0,0,0,0,632433.291486701,143,15,7,9,5,6,1
37,32.669169453033376,0.0,16.752032753976387,15.452258234427127,0.4648784646298606,2076,0,0,0,0,0,133038.56423328075,1,0,0,0,0,0,0
38,18.76635523212032,3.53619181143278,1.8379684347842355,13.392194985903298,0.0,8,0,0,0,0,0,822.9306012735465,1,0,0,0,0,1,0
39,29.10581137049872,0.0,10.624598272221492,17.65877841732506,0.8224346809521762,174,0,0,0,0,0,10184.565443874373,0,0,0,0,0,0,0
40,23.340251141675125,2.706439830147415,3.8050776267101964,16.68374165169616,0.14499203312136166,12,0,0,0,0,0,1862.09759121545,0,0,0,0,0,0,0
41,96.97213173368228,10.16780645692554,16.663063764270422,67.27313852913623,2.806412956224995,192,0,0,0,0,0,28494.387127250604,0,0,0,0,0,0,0
42,51.28683593371826,13.461107543695068,9.527002119436897,23.2094928634805,5.089233407105789,929,0,0,0,0,0,94271.12851723819,0,0,0,0,0,0,0
43,18.09385302719843,0.0,10.689571381870824,2.227974552612894,5.17630709271471,158,0,0,0,0,0,14159.284814987885,1,0,0,0,0,0,0
